SD5,SD10,SD20
102.6041618,102.5774237,102.524507
10.21592743,10.19251564,10.15139376
0.998180999,1.00965549,1.088346765
0.347611222,0.426524802,0.650476568
0.22146169,0.349525235,0.622438574
0.219565219,0.355443196,0.633733774
0.221504406,0.357345798,0.635591318
0.221718567,0.357548632,0.635784158
