weight,num,max
1,64,0.008952301
1.01,62,0.008924377
1.02,60,0.008896452
1.03,60,0.008868528
1.04,60,0.008840603
1.05,60,0.008812679
1.06,60,0.008784755
1.07,60,0.00875683
1.08,60,0.008728906
1.09,60,0.008700981
1.1,60,0.008673057
1.11,60,0.008645132
1.12,60,0.008617208
1.13,60,0.008589283
1.14,60,0.008561359
1.15,60,0.008533435
1.16,60,0.00850551
1.17,60,0.008477586
1.18,60,0.008449661
1.19,60,0.008421737
1.2,60,0.008393812
1.21,60,0.008365888
1.22,60,0.008337963
1.23,60,0.008310039
1.24,60,0.008282115
1.25,60,0.00825419
1.26,60,0.008226266
1.27,60,0.008198341
1.28,58,0.008170417
1.29,58,0.008142492
1.3,56,0.008114568
1.31,52,0.008086643
1.32,52,0.008058719
1.33,52,0.008030795
1.34,52,0.00800287
1.35,52,0.007974946
1.36,52,0.007947021
1.37,52,0.007919097
1.38,52,0.007891172
1.39,52,0.007863248
1.4,52,0.007835323
1.41,52,0.007807399
1.42,52,0.007779475
1.43,52,0.00775155
1.44,52,0.007723626
1.45,52,0.007695701
1.46,52,0.007667777
1.47,52,0.007639852
1.48,52,0.007611928
1.49,52,0.007584003
1.5,50,0.007556079
1.51,50,0.007528155
1.52,50,0.00750023
1.53,50,0.007472306
1.54,50,0.007444381
1.55,50,0.007416457
1.56,50,0.007388532
1.57,50,0.007360608
1.58,48,0.007332683
1.59,48,0.007304759
1.6,48,0.007276834
1.61,48,0.00724891
1.62,48,0.007220986
1.63,48,0.007193061
1.64,48,0.007165137
1.65,48,0.007137212
1.66,46,0.007109288
1.67,46,0.007081363
1.68,46,0.007053439
1.69,46,0.007025514
1.7,46,0.00699759
1.71,44,0.006969666
1.72,44,0.006941741
1.73,44,0.006913817
1.74,44,0.006885892
1.75,44,0.006857968
1.76,44,0.006830043
1.77,44,0.006802119
1.78,44,0.006774194
1.79,44,0.00674627
1.8,42,0.006718346
1.81,42,0.006690421
1.82,42,0.006662497
1.83,42,0.006634572
1.84,42,0.006606648
1.85,42,0.006578723
1.86,40,0.006550799
1.87,40,0.006522874
1.88,40,0.00649495
1.89,40,0.006467026
1.9,38,0.006439101
1.91,38,0.006411177
1.92,38,0.006383252
1.93,38,0.006355328
1.94,38,0.006327403
1.95,38,0.006299479
1.96,38,0.006271554
1.97,36,0.00624363
1.98,36,0.006215706
1.99,36,0.006187781
2,36,0.006159857
2.01,34,0.006131932
2.02,34,0.006104008
2.03,34,0.006076083
2.04,34,0.006048159
2.05,34,0.006020234
2.06,34,0.00599231
2.07,32,0.005964386
2.08,32,0.005936461
2.09,32,0.005908537
2.1,32,0.005880612
2.11,32,0.005852688
2.12,32,0.005824763
2.13,32,0.005796839
2.14,32,0.005768914
2.15,32,0.00574099
2.16,28,0.005713066
2.17,28,0.005685141
2.18,28,0.005657217
2.19,28,0.005629292
2.2,26,0.005601368
2.21,24,0.005573443
2.22,24,0.005545519
2.23,24,0.005517594
2.24,22,0.00548967
2.25,22,0.005461745
2.26,22,0.005433821
2.27,22,0.005405897
2.28,22,0.005377972
2.29,22,0.005350048
2.3,22,0.005322123
2.31,20,0.005294199
2.32,20,0.005266274
2.33,20,0.00523835
2.34,20,0.005210425
2.35,20,0.005182501
2.36,20,0.005154577
2.37,20,0.005126652
2.38,20,0.005098728
2.39,20,0.005070803
2.4,20,0.005042879
2.41,20,0.005014954
2.42,20,0.00498703
2.43,20,0.004959105
2.44,20,0.004931181
2.45,20,0.004903257
2.46,20,0.004875332
2.47,20,0.004847408
2.48,20,0.004819483
2.49,20,0.004791559
2.5,20,0.004763634
2.51,19,0.00473571
2.52,19,0.004707785
2.53,19,0.004679861
2.54,19,0.004651937
2.55,19,0.004624012
2.56,19,0.004596088
2.57,19,0.004568163
2.58,19,0.004540239
2.59,19,0.004512314
2.6,19,0.00448439
2.61,18,0.004456465
2.62,18,0.004428541
2.63,18,0.004400617
2.64,18,0.004372692
2.65,18,0.004344768
2.66,18,0.004316843
2.67,18,0.004288919
2.68,18,0.004260994
2.69,18,0.00423307
2.7,18,0.004205145
2.71,18,0.004177221
2.72,18,0.004149297
2.73,18,0.004121372
2.74,18,0.004093448
2.75,18,0.004065523
2.76,18,0.004037599
2.77,18,0.004009674
2.78,18,0.00398175
2.79,18,0.003953825
2.8,18,0.003925901
2.81,18,0.003897976
2.82,18,0.003870052
2.83,18,0.003842128
2.84,18,0.003814203
2.85,18,0.003786279
2.86,18,0.003758354
2.87,18,0.00373043
2.88,18,0.003702505
2.89,18,0.003674581
2.9,18,0.003646656
2.91,18,0.003618732
2.92,18,0.003590808
2.93,18,0.003562883
2.94,18,0.003534959
2.95,18,0.003507034
2.96,18,0.00347911
2.97,18,0.003451185
2.98,18,0.003423261
2.99,18,0.003395336
3,18,0.003367412
3.01,18,0.003339488
3.02,18,0.003311563
3.03,18,0.003283639
3.04,18,0.003255714
3.05,18,0.00322779
3.06,18,0.003199865
3.07,18,0.003171941
3.08,18,0.003144016
3.09,18,0.003116092
3.1,18,0.003088168
3.11,18,0.003060243
3.12,18,0.003032319
3.13,18,0.003004394
3.14,18,0.00297647
3.15,18,0.002948545
3.16,18,0.002920621
3.17,18,0.002892696
3.18,18,0.002864772
3.19,18,0.002836848
3.2,18,0.002808923
3.21,18,0.002780999
3.22,18,0.002753074
3.23,18,0.00272515
3.24,18,0.002697225
3.25,18,0.002669301
3.26,18,0.002641376
3.27,18,0.002613452
3.28,14,0.002585528
3.29,14,0.002557603
3.3,14,0.002529679
3.31,8,0.002501754
3.32,8,0.00247383
3.33,8,0.002445905
3.34,8,0.002417981
3.35,8,0.002390056
3.36,8,0.002362132
3.37,8,0.002334208
3.38,8,0.002306283
3.39,8,0.002278359
3.4,8,0.002250434
3.41,8,0.00222251
3.42,8,0.002194585
3.43,8,0.002166661
3.44,8,0.002138736
3.45,8,0.002110812
3.46,8,0.002082887
3.47,8,0.002054963
3.48,8,0.002027039
3.49,8,0.001999114
3.5,8,0.00197119
3.51,8,0.001943265
3.52,8,0.001915341
3.53,8,0.001887416
3.54,8,0.001859492
3.55,8,0.001831567
3.56,8,0.001803643
3.57,8,0.001775719
3.58,6,0.001747794
3.59,6,0.00171987
3.6,6,0.001691945
3.61,6,0.001664021
3.62,6,0.001636096
3.63,6,0.001608172
3.64,6,0.001580247
3.65,6,0.001552323
3.66,6,0.001524399
3.67,6,0.001496474
3.68,6,0.00146855
3.69,6,0.001440625
3.7,6,0.001412701
3.71,2,0.001384776
3.72,2,0.001356852
3.73,2,0.001328927
3.74,2,0.001301003
3.75,2,0.001273079
3.76,2,0.001245154
3.77,2,0.00121723
3.78,2,0.001189305
3.79,2,0.001161381
3.8,2,0.001133456
3.81,2,0.001105532
3.82,2,0.001077607
3.83,2,0.001049683
3.84,2,0.001021759
3.85,2,0.000993834
3.86,2,0.00096591
3.87,2,0.000937985
3.88,2,0.000910061
3.89,2,0.000882136
3.9,2,0.000854212
3.91,2,0.000826287
3.92,2,0.000798363
3.93,2,0.000770439
3.94,2,0.000742514
3.95,2,0.00071459
3.96,2,0.000686665
3.97,2,0.000658741
3.98,2,0.000630816
3.99,2,0.000602892
4,2,0.000574967
4.01,2,0.000547043
4.02,2,0.000519119
4.03,2,0.000491194
4.04,2,0.00046327
4.05,2,0.000435345
4.06,2,0.000407421
4.07,2,0.000379496
4.08,2,0.000351572
4.09,2,0.000323647
4.1,2,0.000295723
4.11,2,0.000267798
4.12,2,0.000239874
4.13,2,0.00021195
4.14,2,0.000184025
4.15,2,0.000156101
4.16,2,0.000128176
4.17,2,0.000100252
4.18,2,0.0000723
4.19,2,0.0000444
4.2,2,0.0000165
4.21,0,0
4.22,0,0
4.23,0,0
4.24,0,0
4.25,0,0
4.26,0,0
4.27,0,0
4.28,0,0
4.29,0,0
4.3,0,0
4.31,0,0
4.32,0,0
4.33,0,0
4.34,0,0
4.35,0,0
4.36,0,0
4.37,0,0
4.38,0,0
4.39,0,0
4.4,0,0
4.41,0,0
4.42,0,0
4.43,0,0
4.44,0,0
4.45,0,0
4.46,0,0
4.47,0,0
4.48,0,0
4.49,0,0
4.5,0,0
4.51,0,0
4.52,0,0
4.53,0,0
4.54,0,0
4.55,0,0
4.56,0,0
4.57,0,0
4.58,0,0
4.59,0,0
4.6,0,0
4.61,0,0
4.62,0,0
4.63,0,0
4.64,0,0
4.65,0,0
4.66,0,0
4.67,0,0
4.68,0,0
4.69,0,0
4.7,0,0
4.71,0,0
4.72,0,0
4.73,0,0
4.74,0,0
4.75,0,0
4.76,0,0
4.77,0,0
4.78,0,0
4.79,0,0
4.8,0,0
4.81,0,0
4.82,0,0
4.83,0,0
4.84,0,0
4.85,0,0
4.86,0,0
4.87,0,0
4.88,0,0
4.89,0,0
4.9,0,0
4.91,0,0
4.92,0,0
4.93,0,0
4.94,0,0
4.95,0,0
4.96,0,0
4.97,0,0
4.98,0,0
4.99,0,0
5,0,0
