2478,1994,1698,1473
3630,2641,2640,1928
880,1328,102,216
1892,684,64,2148
1667,1947,1219,519
3210,2860,2076,1371
897,1838,1630,696
6407,952,4212,1502
2081,1594,2378,1426
3483,3020,3391,2630
1041,1784,3255,1678
3140,1186,4292,1779
1421,2314,2733,1293
2566,4391,3758,3143
869,1833,3800,2239
4267,1207,5005,2181
