w1000,w100,w10,w3,w1,w01,w001,w0001
-10.20180584,-2.953975054,-1.131539319,-0.819691391,-0.734837791,-0.562063552,-0.506837356,-0.533101209
-10.47328615,-3.029011811,-0.945004729,-0.806295338,-0.773069384,-0.634739424,-0.697718108,-0.627116384
-10.40195101,-2.666681716,-1.196863299,-0.933846372,-0.758312757,-0.701008648,-0.603961296,-0.713914952
-10.62854437,-3.193179371,-1.101867678,-0.761499558,-0.78853607,-0.726364394,-0.653892127,-0.709826112
-9.789458208,-2.93383408,-1.181513189,-0.807760449,-0.784099315,-0.613761823,-0.610673386,-0.62388324
-10.27778865,-2.78192453,-1.031119135,-0.843032361,-0.750888755,-0.603068554,-0.694240367,-0.820803486
-10.43120651,-3.05259973,-1.195954491,-0.857715565,-0.731392436,-0.703682173,-0.534105178,-0.690142751
-10.49778998,-3.029850954,-1.071905583,-0.716116979,-0.684226327,-0.696509034,-0.597125888,-0.687184431
-10.45104122,-2.689124581,-1.085087948,-0.844989931,-0.828708227,-0.593446777,-0.693966812,-0.547319859
-10.58144413,-3.268494127,-0.980093887,-0.759117287,-0.688033273,-0.802485125,-0.642071381,-0.763477221
-10.70529848,-3.002901518,-0.889949385,-0.949696658,-0.735176987,-0.613133926,-0.615707276,-0.534858053
-10.15108762,-3.075870077,-1.055574087,-0.871513131,-0.754922386,-0.705751536,-0.709993785,-0.724468856
-10.31583228,-2.944529517,-1.001231667,-0.798085733,-0.677104256,-0.643374854,-0.68002187,-0.596199942
-10.5882273,-2.713584927,-1.063560929,-0.820597617,-0.714341256,-0.65499,-0.619090888,-0.661093121
-10.7042008,-2.998430515,-1.013301599,-0.903339638,-0.725106087,-0.748832069,-0.667553069,-0.547324775
-10.47948384,-3.391440119,-1.075406485,-0.815675932,-0.725004107,-0.567775732,-0.598534738,-0.718448996
-10.84182024,-2.386961038,-0.90681492,-0.759451287,-0.84694385,-0.578804613,-0.55524523,-0.567768151
-10.47130791,-2.888632394,-1.04701785,-0.708622274,-0.678691683,-0.570930265,-0.715572332,-0.667614013
-10.65365658,-2.749280028,-0.941904686,-0.782646875,-0.755823788,-0.630636752,-0.631403285,-0.681254304
-10.55715029,-2.578787374,-1.064795154,-0.872942005,-0.648789931,-0.716859846,-0.6161374,-0.625759797
-10.71703494,-2.780101271,-1.049919687,-0.946991205,-0.774190205,-0.653989693,-0.52274431,-0.844866221
-10.32518181,-2.872639108,-1.041127775,-0.891427261,-0.754807489,-0.666055144,-0.4455627,-0.713554347
-10.23090021,-3.026311695,-1.133812379,-0.830642988,-0.67020856,-0.55869262,-0.578020727,-0.780934247
-10.32499589,-3.051226748,-1.000320751,-0.907894205,-0.757839322,-0.585538526,-0.642037663,-0.531606758
-10.3802035,-2.997023725,-1.197488204,-0.736536012,-0.688597653,-0.631673567,-0.699395614,-0.56201395
-10.77131581,-2.551505856,-0.841812733,-0.84404329,-0.747155479,-0.653608119,-0.519356107,-0.591081415
-10.4128819,-3.144449006,-0.975413346,-0.704097547,-0.659340183,-0.667079581,-0.579722532,-0.606621266
